FECHA,PM25,As,Pb,Cd,SO2,NO,NO2,PM10,Ni,NOx,O3,
01/01/2023,15,,,,4,5,17,23,,24,23,
07/01/2023,14,,,,3,4,15,15,,21,29,
13/01/2023,19,,,,4,26,33,28,,72,11,
19/01/2023,7,,,,4,3,10,15,,14,56,
25/01/2023,19,,,,3,11,24,24,,41,34,
31/01/2023,16,,,,4,14,29,27,,50,28,
06/02/2023,10,,,,3,3,14,18,,18,45,
12/02/2023,14,,,,3,3,19,17,,23,51,
18/02/2023,19,,,,3,8,26,23,,37,45,
24/02/2023,8,,,,4,6,20,11,,29,43,
02/03/2023,15,,,,3,5,21,20,,28,56,
08/03/2023,8,,,,5,2,8,14,,11,54,
14/03/2023,9,,,,4,3,13,17,,17,71,
20/03/2023,15,,,,4,4,19,25,,26,47,
26/03/2023,12,,,,4,2,10,24,,13,57,
01/04/2023,18,,,,4,2,8,38,,11,74,
07/04/2023,13,,,,4,3,10,24,,13,74,
13/04/2023,10,,,,3,2,12,25,,15,70,
19/04/2023,11,,,,3,3,11,17,,15,80,
25/04/2023,15,,,,4,7,17,29,,28,65,
01/05/2023,13,,,,3,2,8,24,,11,67,
07/05/2023,9,,,,3,2,6,22,,9,69,
13/05/2023,10,0,14,0,01,0,04,4,2,6,17,0,67,8,67,
19/05/2023,13,,,,4,2,9,22,,12,84,
25/05/2023,14,,,,4,5,13,22,,21,60,
31/05/2023,18,,,,3,4,13,31,,18,65,
06/06/2023,11,,,,3,3,9,23,,13,67,
12/06/2023,12,0,41,0,01,0,03,3,3,8,21,2,39,13,53,
18/06/2023,15,,,,3,2,6,24,,9,103,
24/06/2023,,,,,3,2,9,20,,12,68,
30/06/2023,,,,,3,2,10,,,13,60,
06/07/2023,,,,,3,3,7,19,,11,48,
12/07/2023,17,,,,5,3,6,47,,10,57,
18/07/2023,,,,,3,3,9,36,,14,56,
24/07/2023,,,,,3,4,11,36,,17,60,
30/07/2023,,,,,4,2,3,,,7,67,
05/08/2023,,,,,3,2,6,,,10,75,
11/08/2023,,,,,5,2,3,23,,7,87,
17/08/2023,,,,,4,2,4,22,,7,79,
23/08/2023,29,0,2,0,01,0,05,7,3,16,45,3,1,20,56,
29/08/2023,10,,,,3,2,6,16,,10,64,
04/09/2023,11,0,27,0,01,0,04,5,2,4,35,1,7,7,76,
10/09/2023,9,,,,4,2,4,17,,7,70,
16/09/2023,7,,,,4,2,5,23,,9,66,
22/09/2023,8,,,,4,3,7,18,,12,62,
28/09/2023,11,,,,4,5,12,21,,19,49,
04/10/2023,,,,,3,4,11,,,17,48,
10/10/2023,13,,,,4,3,9,23,,14,49,
16/10/2023,16,0,27,0,01,0,05,5,4,8,24,1,29,14,53,
22/10/2023,9,,,,4,2,5,14,,9,66,
28/10/2023,9,,,,4,3,6,10,,10,64,
03/11/2023,36,,,,4,3,4,43,,8,66,
09/11/2023,12,,,,4,3,8,15,,12,56,
15/11/2023,18,,,,6,6,12,31,,21,27,
21/11/2023,30,,,,4,3,6,32,,10,50,
27/11/2023,,,,,5,6,8,42,,17,40,
03/12/2023,10,,,,,5,23,11,,31,33,
09/12/2023,7,,,,4,3,16,5,,21,44,
15/12/2023,12,,,,,16,44,22,,69,19,
21/12/2023,9,,,,5,16,38,13,,63,25,
27/12/2023,19,,,,3,16,41,26,,65,19,
31/12/2023,17,,,,3,2,11,19,,15,49,
